work_id,composer,title,detail,was,now
554517,"Freidlin, Jan",Tenderness,"Chamber Music: solo instrument, guitar (or harp)",Guitar and Harp,Duo
554541,"Freire Junior, Arnaldo",Opus 7,"Chamber Music: flute, guitar (or piano)",Guitar and Piano,Guitar and Flute
554793,"Froschhammer, Fritz",Rêver éveillé44,"Chamber Music: guitar, violoncello (or violin)",Guitar and Violin,Guitar and Cello
555174,"Gagnebin, Henri",Eglogue,"Chamber Music: clarinet (or violin), guitar",Guitar and Violin,Guitar and Clarinet
555184,"Gagnon, Claude",Ballade,"Chamber Music: guitar, violin (or flute or clarinet)",Guitar and Flute,Guitar and Violin
556357,"Gerung, Hans-Jürgen",Tanzboden - Menuett,"Chamber Music: guitar, dulcimer (or violin)",Guitar and Violin,Duo
556567,"Gianopoulos, George",City Vignettes,"Chamber Music: alto saxophone, guitar (or piano)",Guitar and Piano,Guitar and Saxophone
556831,"Gilles, Henri Noel","5 petites Airs et un Thême Varié pour Lyre ou Guitare (Gilles, Henri Noel)",guitar (or lyre-guitar),Other,Solo
556935,"Girtain IV, Edgar","3 Vernacular Songs (Girtain IV, Edgar)","violin (or flute), guitar",Guitar and Flute,Guitar and Violin
556948,"Giuffredi, Bruno",Cajoler,"Chamber Music: guitar, violin (or flute)",Guitar and Flute,Guitar and Violin
557004,"Giuliani, Mauro","6 Arie nazionale scozzesi (Giuliani, Mauro)",guitar (or lyre-guitar),Other,Solo
557128,"Giuliani, Mauro","Variations, Op.84 (Giuliani, Mauro)","flute (or violin), guitar (or piano)",Guitar and Piano,Guitar and Flute
557332,"Godfrey, Jonathan",Music at 80MPH,"Chamber Music: guitar, violoncello (or viola, violin, flute)",Quartet,Guitar and Cello
557348,"Godin, Scott Edward",gwan,Duo: 2 electric guitars (or electric guitar and tape),Guitar with Electronics,Duo
557958,"Gragnani, Filippo","3 Duets (Gragnani, Filippo)","violin (or flute), guitar",Guitar and Flute,Guitar and Violin
558272,"Greenbaum, Stuart",Cloud Eight,"Chamber Music: B-flat clarinet (or flute), guitar",Guitar and Flute,Guitar and Clarinet
558443,"Grims-land, Ebbe",Marcia modesto variabile,"Chamber Music: guitar, violin (2), viola (or guitar, mandolin (2), mandola)",Plucked Instruments,Quartet
558452,"Grims-land, Ebbe",Ritornare a Napoli,"Chamber Music: guitar, violin (2), viola (or mandolin (2), mandola, guitar)",Plucked Instruments,Chamber Music
558668,"Gualda Jiménez, Antonio",Fuga en fa mayor : el umbral,"Chamber Music: organ (or piano), guitar",Guitar and Piano,Duo
559277,"Götz, Alois","Gisela-Polka (Götz, Alois)",guitar (or 2 guitars),Duo,Solo
559281,"Götze, Walter Wilhelm","Deutsche Volkstänze (Götze, Walter Wilhelm)","Violin (or mandolin, or flute), guitar",Trio,Guitar and Violin
559282,"Götze, Walter Wilhelm","Musikanten-Tanzbuch 1797 (Götze, Walter Wilhelm)","Violin (or Flute) & Guitar, 2nd Violin ad lib.",Guitar and Flute,Guitar and Violin
559673,"Hand, Colin",Varios,"Chamber Music: alto recorder (or flute), guitar",Guitar and Flute,Guitar and Recorder
560846,"Henry, Bonaventure","Nouvelle Méthode pour Guitare, Op.21 (Henry, Bonaventure)",guitar (or lyre),Other,Solo
561304,"Hill, Frank",Verschiedene Arten im Wald spazierenzugehen,"Chamber Music: violin (or flute), guitar",Guitar and Flute,Guitar and Violin
561677,"Hoddinott, Alun",Italian Suite,"Chamber Music: alto recorder (or flute), guitar",Guitar and Flute,Guitar and Recorder
562205,"Houghton, Mark",Changes,"Chamber Music: clarinet (or flute or violin), guitar",Guitar and Flute,Guitar and Clarinet
562487,"Hugill, Andrew",Doublemain,"Chamber Music: violin, guitar (or piano)",Guitar and Piano,Guitar and Violin
563176,"Iparraguirre, Pedro Antonio","Auras Argentinas (Iparraguirre, Pedro Antonio)",1 (or 2) guitars,Other,Solo
563185,"Iparraguirre, Pedro Antonio","Gavota para una o dos guitarras (Iparraguirre, Pedro Antonio)",guitar (or 2 guitars),Duo,Solo
563485,"Israel, Robert",27 Pieces,"Chamber Music: guitar, violin (or recorder, flute, mandolin)",Quartet,Guitar and Violin
563568,"Ivanovic, Vojislav",Salonga,"Chamber Music: guitar, violin (or flute or clarinet)",Guitar and Flute,Guitar and Violin
563583,"Ives, Charles",An Old Song Deranged,"Chamber Music: clarinet (or cor anglais or low voice), harp (or guitar), violin (or viola) viola, violoncello (2)",Guitar and Voice,Quartet
563632,"Iznaola, Ricardo",Triptico Criollo,"Chamber Music: guitar, violin (or flute)",Guitar and Flute,Guitar and Violin
564061,"Jaros, Vladislav",Lapis Miraculum,"Chamber Music: cor anglais (or violin, viola, violoncello), guitar",Quartet,Duo
564095,"Jarvinen, Arthur",Symphony for Broken Strings,Guitar Ensemble: 3 (or multiples of 3) electric guitars,Other,Trio
564176,"Jenner, George","3 Nocturnes (Jenner, George)","viola (or flute, or violin, or clarinet), guitar",Quartet,Guitar and Viola
564218,"Jez Brezavscek, Brina",Three Castle Miniatures,"Chamber Music: oboe, guitar (or mandolin or harp)",Guitar and Harp,Guitar and Oboe
564525,"Joly, D.","Bolero (Joly, D.)","violin (or flute), guitar",Guitar and Flute,Guitar and Violin
564643,"Jong, Christiaan de",Sonata Tanguistique,"Chamber Music: flute (or soprano saxophone or viola or violin), guitar",Guitar and Voice,Guitar and Flute
564953,"Järvlepp, Jan",Seagulls,"Chamber Music: flute, alto flute (or clarinet, cor anglais, violin, viola), electric guitar",Chamber Music,Trio
565117,"Kaiser, Daniel",Pan,"Chamber Music: recorder (or flute or violin), guitar",Guitar and Flute,Guitar and Recorder
565118,"Kaiser, Daniel",Ritournelle,"Chamber Music: recorder (or flute or violin), guitar (or harp)",Guitar and Flute,Guitar and Recorder
565802,"Kellner, Winfried","Sonatina mexicana, Op.4 (Kellner, Winfried)","Oboe (or Violin), Guitar",Guitar and Violin,Guitar and Oboe
566888,"Knopf, Michael",Serenade,"Chamber Music: guitar, violoncello (or flute or viola)",Guitar and Flute,Guitar and Cello
566975,"Koch, Erland von",Canto e danza,"Chamber Music: flute (or violin), guitar (or piano)",Guitar and Piano,Guitar and Flute
567055,"Kohan, Jorge Omar",Suite,"Chamber Music: guitar, violin (or flute)",Guitar and Flute,Guitar and Violin
567259,"Kopelent, Marek",Plauderstündchen,"Ensemble: alto saxophone - picc.0.afl.3.corA.0.0 - 0.5.3.1 - 2perc-cim(or zither, or egtr)-prep piano-cel - 0.0.0.0.4",Guitar and Piano,Ensemble
567551,"Krantz, Allan",Song of Spring with Little Variations and Fantasies,"Chamber Music: piccolo (or flute), guitar",Guitar and Flute,Duo
567558,"Kratochwil, Heinz",Suite,"Chamber Music: recorder (or flute), guitar",Guitar and Flute,Guitar and Recorder
567740,"Krieger, Ulrich",Fathomless,"Chamber Music: saxophone (or bass clarinet), drum kit, electric bass",Trio,Guitar and Voice
567750,"Krimitza, Vasiliki",Anticheirafétisi,"Chamber Music: sopran (or mezzo-soprano) - flute, piano, guitar, violin",Guitar and Voice,Quartet
568348,"Kupferman, Meyer",Serenade,"Chamber Music: clarinet (or viola), guitar",Guitar and Viola,Guitar and Clarinet
568755,"Küffner, Joseph","Sérénade facile, Op.215 (Küffner, Joseph)","violin (or flute), guitar",Guitar and Flute,Guitar and Violin
568877,"Laburda, Jiri",Duo,"Chamber Music: guitar, double bass (or violoncello)",Guitar and Cello,Duo
569600,"Lawall, Georg",Parcos antiquos,"Chamber Music: recorder (or violin), guitar",Guitar and Violin,Guitar and Recorder
570022,"Legrand, Diego",Atardecer,"Chamber Music: recorder (or flute), guitar",Guitar and Flute,Guitar and Recorder
570029,"Legrand, Diego",La Noche,"Chamber Music: recorder (or flute), guitar",Guitar and Flute,Guitar and Recorder
570095,"Leisner, David",Nostalgia,"Chamber Music: violin (or flute), guitar",Guitar and Flute,Guitar and Violin
