imslp_title,composer_name,work_title,source_category,instrumentation_category,alternate_instrumentations,url,arrangement_count,arrangers
"'O sole mio (Di Capua, Eduardo)","Di Capua, Eduardo",'O sole mio,For guitar (arr),Solo,,https://imslp.org/wiki/%27O_sole_mio_%28Di_Capua%2C_Eduardo%29,1,Tárrega
"10 Choral Pieces, Op.27 (Chesnokov, Pavel)","Chesnokov, Pavel","10 Choral Pieces, Op.27",For guitar (arr),Solo,,https://imslp.org/wiki/10_Choral_Pieces%2C_Op.27_%28Chesnokov%2C_Pavel%29,1,Strong
"10 Composiciones (Prat, Domingo)","Prat, Domingo",10 Composiciones,For guitar (arr),Solo,,https://imslp.org/wiki/10_Composiciones_%28Prat%2C_Domingo%29,0,
"10 National Airs with Variations, Op.107 (Beethoven, Ludwig van)","Beethoven, Ludwig van","10 National Airs with Variations, Op.107",For guitar (arr),Solo,,https://imslp.org/wiki/10_National_Airs_with_Variations%2C_Op.107_%28Beethoven%2C_Ludwig_van%29,1,Apke
"10 Petits morceaux, Op.94 (Moszkowski, Moritz)","Moszkowski, Moritz","10 Petits morceaux, Op.94",For 2 guitars (arr),Duo,,https://imslp.org/wiki/10_Petits_morceaux%2C_Op.94_%28Moszkowski%2C_Moritz%29,1,2 Höger
"10 Pieces favorites de differents Auteurs, Op.28 (Diabelli, Anton)","Diabelli, Anton","10 Pieces favorites de differents Auteurs, Op.28",For guitar (arr),Solo,,https://imslp.org/wiki/10_Pieces_favorites_de_differents_Auteurs%2C_Op.28_%28Diabelli%2C_Anton%29,0,
"10 Pieces, Op.6 (Barmotin, Semyon)","Barmotin, Semyon","10 Pieces, Op.6",For 3 guitars (arr),Trio,,https://imslp.org/wiki/10_Pieces%2C_Op.6_%28Barmotin%2C_Semyon%29,1,3 Höger
"100 Recreations (Bayer, Eduard)","Bayer, Eduard",100 Recreations,For guitar (arr),Solo,,https://imslp.org/wiki/100_Recreations_%28Bayer%2C_Eduard%29,0,
"12 Arabesques, Op.6 (Korganov, Genary)","Korganov, Genary","12 Arabesques, Op.6",For 2 guitars (arr),Duo,,https://imslp.org/wiki/12_Arabesques%2C_Op.6_%28Korganov%2C_Genary%29,1,2 Höger
"12 Canzonette Venetiane (Mayr, Giovanni Simone)","Mayr, Giovanni Simone",12 Canzonette Venetiane,"For voice, guitar (arr)",Guitar and Voice,,https://imslp.org/wiki/12_Canzonette_Venetiane_%28Mayr%2C_Giovanni_Simone%29,0,
"12 Canzoni o sianno ariette a solo (Crescentini, Girolamo)","Crescentini, Girolamo",12 Canzoni o sianno ariette a solo,"For voice, guitar (arr)",Guitar and Voice,,https://imslp.org/wiki/12_Canzoni_o_sianno_ariette_a_solo_%28Crescentini%2C_Girolamo%29,0,
"12 Caprices, Op.7 (Franchomme, Auguste)","Franchomme, Auguste","12 Caprices, Op.7",For guitar (arr),Solo,,https://imslp.org/wiki/12_Caprices%2C_Op.7_%28Franchomme%2C_Auguste%29,1,Manger
"12 Danzas españolas (Granados, Enrique)","Granados, Enrique",12 Danzas españolas,For guitar (arr),Solo,Duo | Trio,https://imslp.org/wiki/12_Danzas_espa%C3%B1olas_%28Granados%2C_Enrique%29,6,3 Miettinen | 2 Kuokkanen | Apke | Llobet | 2 Llobet | García Fortea
"12 Fantasias for Viol without Bass, TWV 40:26-37 (Telemann, Georg Philipp)","Telemann, Georg Philipp","12 Fantasias for Viol without Bass, TWV 40:26-37",For guitar (arr),Solo,,https://imslp.org/wiki/12_Fantasias_for_Viol_without_Bass%2C_TWV_40%3A26-37_%28Telemann%2C_Georg_Philipp%29,1,Ghezzi
"12 Flute Duos (Zielche, Hans Hinrich)","Zielche, Hans Hinrich",12 Flute Duos,For 2 guitars (arr),Duo,,https://imslp.org/wiki/12_Flute_Duos_%28Zielche%2C_Hans_Hinrich%29,1,2 Höger
"12 Fugues for Harpsichord (Sellitto, Giacomo)","Sellitto, Giacomo",12 Fugues for Harpsichord,For 2 guitars (arr),Duo,,https://imslp.org/wiki/12_Fugues_for_Harpsichord_%28Sellitto%2C_Giacomo%29,1,2 Höger
"12 Fugues, Op.1 (Albrechtsberger, Johann Georg)","Albrechtsberger, Johann Georg","12 Fugues, Op.1",For guitar (arr),Solo,Trio | Quartet,https://imslp.org/wiki/12_Fugues%2C_Op.1_%28Albrechtsberger%2C_Johann_Georg%29,2,4 Höger | 3 Höger
"12 German Dances, WoO 8 (Beethoven, Ludwig van)","Beethoven, Ludwig van","12 German Dances, WoO 8",For guitar (arr),Solo,,https://imslp.org/wiki/12_German_Dances%2C_WoO_8_%28Beethoven%2C_Ludwig_van%29,1,Llobet
"12 Kleine characteristische Tonbilder, Op.172 (Mayer, Charles)","Mayer, Charles","12 Kleine characteristische Tonbilder, Op.172",For 2 guitars (arr),Duo,,https://imslp.org/wiki/12_Kleine_characteristische_Tonbilder%2C_Op.172_%28Mayer%2C_Charles%29,1,2 Höger
"12 Miniatures, Op.10 (Ladukhin, Nikolay)","Ladukhin, Nikolay","12 Miniatures, Op.10",For 2 guitars (arr),Duo,,https://imslp.org/wiki/12_Miniatures%2C_Op.10_%28Ladukhin%2C_Nikolay%29,1,2 Höger
"12 Neue leichte Präludien (Albrechtsberger, Johann Georg)","Albrechtsberger, Johann Georg",12 Neue leichte Präludien,For 3 guitars (arr),Trio,,https://imslp.org/wiki/12_Neue_leichte_Pr%C3%A4ludien_%28Albrechtsberger%2C_Johann_Georg%29,1,3 Höger
"12 Organ Sonatas, Op.1 (Valeri, Gaetano)","Valeri, Gaetano","12 Organ Sonatas, Op.1",For 2 guitars (arr),Duo,,https://imslp.org/wiki/12_Organ_Sonatas%2C_Op.1_%28Valeri%2C_Gaetano%29,1,2 Höger
"12 Pieces, Op.40 (Tchaikovsky, Pyotr)","Tchaikovsky, Pyotr","12 Pieces, Op.40",For guitar (arr),Solo,,https://imslp.org/wiki/12_Pieces%2C_Op.40_%28Tchaikovsky%2C_Pyotr%29,2,Apke | Grayson
"12 Piezas características, Op.92 (Albéniz, Isaac)","Albéniz, Isaac","12 Piezas características, Op.92",For guitar (arr),Solo,,https://imslp.org/wiki/12_Piezas_caracter%C3%ADsticas%2C_Op.92_%28Alb%C3%A9niz%2C_Isaac%29,3,García Fortea | Apke | Llobet
"12 Polonaises (Ogiński, Michał Kleofas)","Ogiński, Michał Kleofas",12 Polonaises,For guitar (arr),Solo,Duo,https://imslp.org/wiki/12_Polonaises_%28Ogi%C5%84ski%2C_Micha%C5%82_Kleofas%29,3,Galuza | 2 Galuza | Vetrov
"12 Progressive Duets, Op.2 (Reinagle, Joseph)","Reinagle, Joseph","12 Progressive Duets, Op.2",For 2 guitars (arr),Duo,,https://imslp.org/wiki/12_Progressive_Duets%2C_Op.2_%28Reinagle%2C_Joseph%29,1,2 Höger
"12 Recorder Sonatas, Op.1 (Loeillet, Jean Baptiste)","Loeillet, Jean Baptiste","12 Recorder Sonatas, Op.1",For guitar (arr),Solo,,https://imslp.org/wiki/12_Recorder_Sonatas%2C_Op.1_%28Loeillet%2C_Jean_Baptiste%29,1,Grayson
"12 Romances nouvelles, Op.14 (Ferrari, Giacomo Gotifredo)","Ferrari, Giacomo Gotifredo","12 Romances nouvelles, Op.14","For voice, guitar (arr)",Guitar and Voice,,https://imslp.org/wiki/12_Romances_nouvelles%2C_Op.14_%28Ferrari%2C_Giacomo_Gotifredo%29,0,
"12 Tonadillas en estilo antiguo (Granados, Enrique)","Granados, Enrique",12 Tonadillas en estilo antiguo,For guitar (arr),Solo,,https://imslp.org/wiki/12_Tonadillas_en_estilo_antiguo_%28Granados%2C_Enrique%29,1,Llobet
"12 Variations on 'Ah, vous dirai-je maman', K.265/300e (Mozart, Wolfgang Amadeus)","Mozart, Wolfgang Amadeus","12 Variations on 'Ah, vous dirai-je maman', K.265/300e",For 2 guitars (arr),Duo,,https://imslp.org/wiki/12_Variations_on_%27Ah%2C_vous_dirai-je_maman%27%2C_K.265/300e_%28Mozart%2C_Wolfgang_Amadeus%29,1,2 Olson
"12 Voluntaries and Fugues for the Organ or Harpsichord (Handel, George Frideric)","Handel, George Frideric",12 Voluntaries and Fugues for the Organ or Harpsichord,For 2 guitars (arr),Duo,,https://imslp.org/wiki/12_Voluntaries_and_Fugues_for_the_Organ_or_Harpsichord_%28Handel%2C_George_Frideric%29,1,2 Höger
"12 Études caractéristiques, Op.2 (Henselt, Adolf von)","Henselt, Adolf von","12 Études caractéristiques, Op.2",For guitar (arr),Solo,,https://imslp.org/wiki/12_%C3%89tudes_caract%C3%A9ristiques%2C_Op.2_%28Henselt%2C_Adolf_von%29,1,Tárrega
"12 Études de salon, Op.5 (Henselt, Adolf von)","Henselt, Adolf von","12 Études de salon, Op.5",For guitar (arr),Solo,,https://imslp.org/wiki/12_%C3%89tudes_de_salon%2C_Op.5_%28Henselt%2C_Adolf_von%29,1,Tárrega
"14 Preludes, Fugues and Toccatas (Weckmann, Matthias)","Weckmann, Matthias","14 Preludes, Fugues and Toccatas",For 3 guitars (arr),Trio,,https://imslp.org/wiki/14_Preludes%2C_Fugues_and_Toccatas_%28Weckmann%2C_Matthias%29,1,3 Grayson
"14 Ricercare (Froberger, Johann Jacob)","Froberger, Johann Jacob",14 Ricercare,For 2 guitars (arr),Duo,,https://imslp.org/wiki/14_Ricercare_%28Froberger%2C_Johann_Jacob%29,1,2 Höger
"14 Toccatas (Cotumacci, Carlo)","Cotumacci, Carlo",14 Toccatas,For 2 guitars (arr),Duo,,https://imslp.org/wiki/14_Toccatas_%28Cotumacci%2C_Carlo%29,1,2 Höger
"15 Fantasias 'in Paris' (Ward, John)","Ward, John",15 Fantasias 'in Paris',For 4 guitars (arr),Quartet,,https://imslp.org/wiki/15_Fantasias_%27in_Paris%27_%28Ward%2C_John%29,1,4 Höger
"15 Inventions, BWV 772-786 (Bach, Johann Sebastian)","Bach, Johann Sebastian","15 Inventions, BWV 772-786",For 2 guitars (arr),Duo,,https://imslp.org/wiki/15_Inventions%2C_BWV_772-786_%28Bach%2C_Johann_Sebastian%29,1,2 Höger
"15 Short Trios (Vanhal, Johann Baptist)","Vanhal, Johann Baptist",15 Short Trios,For 3 guitars (arr),Trio,,https://imslp.org/wiki/15_Short_Trios_%28Vanhal%2C_Johann_Baptist%29,1,3 Höger
"15 Studies for Violin, Op.68 (Dancla, Charles)","Dancla, Charles","15 Studies for Violin, Op.68",For 2 guitars (arr),Duo,,https://imslp.org/wiki/15_Studies_for_Violin%2C_Op.68_%28Dancla%2C_Charles%29,1,2 Höger
"16 Flute Duets, Op.132 (Briccialdi, Giulio)","Briccialdi, Giulio","16 Flute Duets, Op.132",For 2 guitars (arr),Duo,,https://imslp.org/wiki/16_Flute_Duets%2C_Op.132_%28Briccialdi%2C_Giulio%29,1,2 Höger
"16 Waltzes, Op.39 (Brahms, Johannes)","Brahms, Johannes","16 Waltzes, Op.39",For guitar (arr),Solo,Duo,https://imslp.org/wiki/16_Waltzes%2C_Op.39_%28Brahms%2C_Johannes%29,2,2 Marieh | Apke
"17 Ländler, D.366 (Schubert, Franz)","Schubert, Franz","17 Ländler, D.366",For 2 guitars (arr),Duo,,https://imslp.org/wiki/17_L%C3%A4ndler%2C_D.366_%28Schubert%2C_Franz%29,1,2 Höger
"18 Basses dances (Attaingnant, Pierre)","Attaingnant, Pierre",18 Basses dances,For guitar (arr),Solo,,https://imslp.org/wiki/18_Basses_dances_%28Attaingnant%2C_Pierre%29,2,Goldau | Marieh
"18 Colascione Partitas (Brescianello, Giuseppe Antonio)","Brescianello, Giuseppe Antonio",18 Colascione Partitas,For guitar (arr),Solo,,https://imslp.org/wiki/18_Colascione_Partitas_%28Brescianello%2C_Giuseppe_Antonio%29,1,Burghausen
"18 Favorite Irish Melodies arranged for the Guitar (Schultz, Leonard)","Schultz, Leonard",18 Favorite Irish Melodies arranged for the Guitar,For guitar (arr),Solo,,https://imslp.org/wiki/18_Favorite_Irish_Melodies_arranged_for_the_Guitar_%28Schultz%2C_Leonard%29,0,
"18 Horn Trios, Op.56 (Schneider, Georg Abraham)","Schneider, Georg Abraham","18 Horn Trios, Op.56",For 3 guitars (arr),Trio,,https://imslp.org/wiki/18_Horn_Trios%2C_Op.56_%28Schneider%2C_Georg_Abraham%29,1,3 Höger
"19 Fantazias, In Nomines and Other Pieces (Purcell, Henry)","Purcell, Henry","19 Fantazias, In Nomines and Other Pieces",For 4 guitars (arr),Quartet,,https://imslp.org/wiki/19_Fantazias%2C_In_Nomines_and_Other_Pieces_%28Purcell%2C_Henry%29,1,4 Goldau
"19 Études ou caprices (Kreutzer, Rodolphe)","Kreutzer, Rodolphe",19 Études ou caprices,For guitar (arr),Solo,,https://imslp.org/wiki/19_%C3%89tudes_ou_caprices_%28Kreutzer%2C_Rodolphe%29,1,Ghezzi
"1922 (Nazareth, Ernesto)","Nazareth, Ernesto",1922,For guitar (arr),Solo,,https://imslp.org/wiki/1922_%28Nazareth%2C_Ernesto%29,1,Ludenhoff
"2 Boleros (Nonó, José)","Nonó, José",2 Boleros,For guitar (arr),Solo,,https://imslp.org/wiki/2_Boleros_%28Non%C3%B3%2C_Jos%C3%A9%29,0,
"2 Canciones mexicanas (Ponce, Manuel)","Ponce, Manuel",2 Canciones mexicanas,For 3 guitars (arr),Trio,Quartet,https://imslp.org/wiki/2_Canciones_mexicanas_%28Ponce%2C_Manuel%29,2,4 Shorter | 3 Shorter
"2 Danzas Americanas (Conde y Arnal, José)","Conde y Arnal, José",2 Danzas Americanas,For guitar (arr),Solo,,https://imslp.org/wiki/2_Danzas_Americanas_%28Conde_y_Arnal%2C_Jos%C3%A9%29,1,Damas
"2 Inventionen, Fuge und Choralbearbeitung, EngK 20, 21, 27 & 217 (Kirnberger, Johann Philipp)","Kirnberger, Johann Philipp","2 Inventionen, Fuge und Choralbearbeitung, EngK 20, 21, 27 & 217",For 2 guitars (arr),Duo,,https://imslp.org/wiki/2_Inventionen%2C_Fuge_und_Choralbearbeitung%2C_EngK_20%2C_21%2C_27_%26_217_%28Kirnberger%2C_Johann_Philipp%29,1,2 Höger
"2 Jewish Partisan Songs (Nichifor, Serban)","Nichifor, Serban",2 Jewish Partisan Songs,"For guitar, piano (arr)",Guitar and Piano,,https://imslp.org/wiki/2_Jewish_Partisan_Songs_%28Nichifor%2C_Serban%29,0,
"2 Ländler in E-flat major, D.980b (Schubert, Franz)","Schubert, Franz","2 Ländler in E-flat major, D.980b",For 2 guitars (arr),Duo,,https://imslp.org/wiki/2_L%C3%A4ndler_in_E-flat_major%2C_D.980b_%28Schubert%2C_Franz%29,1,2 Höger
"2 Menuets (Pichl, Vaclav)","Pichl, Vaclav",2 Menuets,For 2 guitars (arr),Duo,,https://imslp.org/wiki/2_Menuets_%28Pichl%2C_Vaclav%29,1,2 Höger
"2 Morceaux, Op.26 (Rubinstein, Anton)","Rubinstein, Anton","2 Morceaux, Op.26",For 2 guitars (arr),Duo,,https://imslp.org/wiki/2_Morceaux%2C_Op.26_%28Rubinstein%2C_Anton%29,1,2 Llobet
"2 Mélodies, Op.3 (Rubinstein, Anton)","Rubinstein, Anton","2 Mélodies, Op.3",For guitar (arr),Solo,,https://imslp.org/wiki/2_M%C3%A9lodies%2C_Op.3_%28Rubinstein%2C_Anton%29,1,Luk
"2 Pieces for Cello and Piano (Marie, Gabriel Prosper)","Marie, Gabriel Prosper",2 Pieces for Cello and Piano,For guitar (arr),Solo,,https://imslp.org/wiki/2_Pieces_for_Cello_and_Piano_%28Marie%2C_Gabriel_Prosper%29,1,Sagreras
"2 Pieces, Op.10 (Tchaikovsky, Pyotr)","Tchaikovsky, Pyotr","2 Pieces, Op.10",For 2 guitars (arr),Duo,,https://imslp.org/wiki/2_Pieces%2C_Op.10_%28Tchaikovsky%2C_Pyotr%29,1,2 Llobet
"2 Pieces, WoO 33b (Beethoven, Ludwig van)","Beethoven, Ludwig van","2 Pieces, WoO 33b",For guitar (arr),Solo,,https://imslp.org/wiki/2_Pieces%2C_WoO_33b_%28Beethoven%2C_Ludwig_van%29,1,Ubach
"2 Pièces pour piano, Op.3 (Sauter, Louis)","Sauter, Louis","2 Pièces pour piano, Op.3",For guitar (arr),Solo,,https://imslp.org/wiki/2_Pi%C3%A8ces_pour_piano%2C_Op.3_%28Sauter%2C_Louis%29,1,Composer
"2 Scherzos, D.593 (Schubert, Franz)","Schubert, Franz","2 Scherzos, D.593",For guitar (arr),Solo,,https://imslp.org/wiki/2_Scherzos%2C_D.593_%28Schubert%2C_Franz%29,1,Apke
"2 Sonatinas for Piano, Anh.5 (Beethoven, Ludwig van)","Beethoven, Ludwig van","2 Sonatinas for Piano, Anh.5",For guitar (arr),Solo,,https://imslp.org/wiki/2_Sonatinas_for_Piano%2C_Anh.5_%28Beethoven%2C_Ludwig_van%29,2,León Egea | Llobet
"2 Songs (Ullman, Carl Fredrik)","Ullman, Carl Fredrik",2 Songs,For guitar (arr),Solo,,https://imslp.org/wiki/2_Songs_%28Ullman%2C_Carl_Fredrik%29,0,
"2 Tarentelles, Op.85 (Heller, Stephen)","Heller, Stephen","2 Tarentelles, Op.85",For guitar (arr),Solo,,https://imslp.org/wiki/2_Tarentelles%2C_Op.85_%28Heller%2C_Stephen%29,1,Apke
"2 Triple Fugues for 4 Voices, Hess 244 (Beethoven, Ludwig van)","Beethoven, Ludwig van","2 Triple Fugues for 4 Voices, Hess 244",For 4 guitars (arr),Quartet,,https://imslp.org/wiki/2_Triple_Fugues_for_4_Voices%2C_Hess_244_%28Beethoven%2C_Ludwig_van%29,1,4 Höger
"2 Violin Duos, Opp.19, 20 (Dancla, Charles)","Dancla, Charles","2 Violin Duos, Opp.19, 20",For 2 guitars (arr),Duo,,https://imslp.org/wiki/2_Violin_Duos%2C_Opp.19%2C_20_%28Dancla%2C_Charles%29,1,2 Höger
"21 In Nomines (Tye, Christopher)","Tye, Christopher",21 In Nomines,For 4 guitars (arr),Quartet,,https://imslp.org/wiki/21_In_Nomines_%28Tye%2C_Christopher%29,1,4 Höger
"24 Kis kánon a fekete billentyűkön (Kodály, Zoltán)","Kodály, Zoltán",24 Kis kánon a fekete billentyűkön,For 2 guitars (arr),Duo,,https://imslp.org/wiki/24_Kis_k%C3%A1non_a_fekete_billenty%C5%B1k%C3%B6n_%28Kod%C3%A1ly%2C_Zolt%C3%A1n%29,1,2 Dillow
"24 Leçons progressives, Op.31 (Sor, Fernando)","Sor, Fernando","24 Leçons progressives, Op.31",For 3 guitars (arr),Trio,,https://imslp.org/wiki/24_Le%C3%A7ons_progressives%2C_Op.31_%28Sor%2C_Fernando%29,3,Complete | arr. A. Gilardino | 3 Goldau
"24 Oden, TWV 25:86-109 (Telemann, Georg Philipp)","Telemann, Georg Philipp","24 Oden, TWV 25:86-109",For guitar (arr),Solo,,https://imslp.org/wiki/24_Oden%2C_TWV_25%3A86-109_%28Telemann%2C_Georg_Philipp%29,1,Alink
"24 Preludes and 1 Fugue (Gurilyov, Lev)","Gurilyov, Lev",24 Preludes and 1 Fugue,For guitar (arr),Solo,,https://imslp.org/wiki/24_Preludes_and_1_Fugue_%28Gurilyov%2C_Lev%29,0,
"24 Preludes, Op.11 (Scriabin, Aleksandr)","Scriabin, Aleksandr","24 Preludes, Op.11",For guitar (arr),Solo,,https://imslp.org/wiki/24_Preludes%2C_Op.11_%28Scriabin%2C_Aleksandr%29,2,Egea | León Egea
"24 Small Easy Cello Duos, Op.42 (Gross, Johann Benjamin)","Gross, Johann Benjamin","24 Small Easy Cello Duos, Op.42",For 2 guitars (arr),Duo,,https://imslp.org/wiki/24_Small_Easy_Cello_Duos%2C_Op.42_%28Gross%2C_Johann_Benjamin%29,1,2 Höger
"24 Sonate d'organo (Cattenacci, Gian Domenico)","Cattenacci, Gian Domenico",24 Sonate d'organo,For 2 guitars (arr),Duo,,https://imslp.org/wiki/24_Sonate_d%27organo_%28Cattenacci%2C_Gian_Domenico%29,1,2 Höger
"24 Violin Duets, Op.56 (Vanhal, Johann Baptist)","Vanhal, Johann Baptist","24 Violin Duets, Op.56",For 2 guitars (arr),Duo,,https://imslp.org/wiki/24_Violin_Duets%2C_Op.56_%28Vanhal%2C_Johann_Baptist%29,1,2 Höger
"25 Etudes, Op.47 (Heller, Stephen)","Heller, Stephen","25 Etudes, Op.47",For guitar (arr),Solo,,https://imslp.org/wiki/25_Etudes%2C_Op.47_%28Heller%2C_Stephen%29,1,García Fortea
"25 Études, Op.38 (Coste, Napoléon)","Coste, Napoléon","25 Études, Op.38",For 2 guitars (arr),Duo,,https://imslp.org/wiki/25_%C3%89tudes%2C_Op.38_%28Coste%2C_Napol%C3%A9on%29,1,2 Barrios Mangoré
"27 Harpsichord Pieces (Graupner, Christoph)","Graupner, Christoph",27 Harpsichord Pieces,For guitar (arr),Solo,Duo,https://imslp.org/wiki/27_Harpsichord_Pieces_%28Graupner%2C_Christoph%29,2,2 Höger | Höger
"27 Pieces for Bass Viol (Abel, Carl Friedrich)","Abel, Carl Friedrich",27 Pieces for Bass Viol,For guitar (arr),Solo,,https://imslp.org/wiki/27_Pieces_for_Bass_Viol_%28Abel%2C_Carl_Friedrich%29,1,Ghezzi
"3 Airs de Ballet (Elssler, Fanny)","Elssler, Fanny",3 Airs de Ballet,For guitar (arr),Solo,,https://imslp.org/wiki/3_Airs_de_Ballet_%28Elssler%2C_Fanny%29,0,
"3 Ariette (Corigliano, Domenico)","Corigliano, Domenico",3 Ariette,"For voice, guitar (arr)",Guitar and Voice,,https://imslp.org/wiki/3_Ariette_%28Corigliano%2C_Domenico%29,0,
"3 Arrangements from Operas (Morkov, Vladimir)","Morkov, Vladimir",3 Arrangements from Operas,For guitar (arr),Solo,,https://imslp.org/wiki/3_Arrangements_from_Operas_%28Morkov%2C_Vladimir%29,0,
"3 Balladen, Op.95 (Reissiger, Carl Gottlieb)","Reissiger, Carl Gottlieb","3 Balladen, Op.95","For voice, guitar (arr)",Guitar and Voice,,https://imslp.org/wiki/3_Balladen%2C_Op.95_%28Reissiger%2C_Carl_Gottlieb%29,0,
"3 Bluettes, Op.272 (Duvernoy, Jean-Baptiste)","Duvernoy, Jean-Baptiste","3 Bluettes, Op.272",For guitar (arr),Solo,,https://imslp.org/wiki/3_Bluettes%2C_Op.272_%28Duvernoy%2C_Jean-Baptiste%29,1,Jacobs
"3 Celebrated Waltzes of Mozart, Beethoven & Weber (Nüske, Johann Abraham)","Nüske, Johann Abraham","3 Celebrated Waltzes of Mozart, Beethoven & Weber",For guitar (arr),Solo,,https://imslp.org/wiki/3_Celebrated_Waltzes_of_Mozart%2C_Beethoven_%26_Weber_%28N%C3%BCske%2C_Johann_Abraham%29,0,
"3 Cello Duets, Op.10 (Neubauer, Franz Christoph)","Neubauer, Franz Christoph","3 Cello Duets, Op.10",For 2 guitars (arr),Duo,,https://imslp.org/wiki/3_Cello_Duets%2C_Op.10_%28Neubauer%2C_Franz_Christoph%29,1,2 Höger
"3 Cello Duos, Op.9 (Romberg, Bernhard)","Romberg, Bernhard","3 Cello Duos, Op.9",For 2 guitars (arr),Duo,,https://imslp.org/wiki/3_Cello_Duos%2C_Op.9_%28Romberg%2C_Bernhard%29,1,2 Höger
"3 Chansons de Charles d'Orléans, CD 99 (Debussy, Claude)","Debussy, Claude","3 Chansons de Charles d'Orléans, CD 99",For 4 guitars (arr),Quartet,,https://imslp.org/wiki/3_Chansons_de_Charles_d%27Orl%C3%A9ans%2C_CD_99_%28Debussy%2C_Claude%29,1,4 Höger
"3 Couplets sur la Sensibilité (Leykam, Alois Baron de)","Leykam, Alois Baron de",3 Couplets sur la Sensibilité,"For voice, guitar (arr)",Guitar and Voice,,https://imslp.org/wiki/3_Couplets_sur_la_Sensibilit%C3%A9_%28Leykam%2C_Alois_Baron_de%29,0,
"3 Deutsche Lieder (Righini, Vincenzo)","Righini, Vincenzo",3 Deutsche Lieder,"For voice, guitar (arr)",Guitar and Voice,,https://imslp.org/wiki/3_Deutsche_Lieder_%28Righini%2C_Vincenzo%29,0,
"3 Duets for 2 Cellos, Op.36 (Lee, Sebastian)","Lee, Sebastian","3 Duets for 2 Cellos, Op.36",For 2 guitars (arr),Duo,,https://imslp.org/wiki/3_Duets_for_2_Cellos%2C_Op.36_%28Lee%2C_Sebastian%29,1,2 Höger
"3 Duets for 2 Cellos, Op.39 (Lee, Sebastian)","Lee, Sebastian","3 Duets for 2 Cellos, Op.39",For 2 guitars (arr),Duo,,https://imslp.org/wiki/3_Duets_for_2_Cellos%2C_Op.39_%28Lee%2C_Sebastian%29,1,2 Höger
"3 Duets for 2 Flutes, Op.10 (Kuhlau, Friedrich)","Kuhlau, Friedrich","3 Duets for 2 Flutes, Op.10",For 2 guitars (arr),Duo,,https://imslp.org/wiki/3_Duets_for_2_Flutes%2C_Op.10_%28Kuhlau%2C_Friedrich%29,1,2 Höger
"3 Duets for 2 Violas, F.60-62 (Bach, Wilhelm Friedemann)","Bach, Wilhelm Friedemann","3 Duets for 2 Violas, F.60-62",For 2 guitars (arr),Duo,,https://imslp.org/wiki/3_Duets_for_2_Violas%2C_F.60-62_%28Bach%2C_Wilhelm_Friedemann%29,1,2 Höger
"3 Duets for Clarinet and Bassoon, WoO 27 (Beethoven, Ludwig van)","Beethoven, Ludwig van","3 Duets for Clarinet and Bassoon, WoO 27",For 2 guitars (arr),Duo,,https://imslp.org/wiki/3_Duets_for_Clarinet_and_Bassoon%2C_WoO_27_%28Beethoven%2C_Ludwig_van%29,1,2 Höger
"3 Duets for Violin and Viola, Op.7 (Hoffmeister, Franz Anton)","Hoffmeister, Franz Anton","3 Duets for Violin and Viola, Op.7",For 2 guitars (arr),Duo,,https://imslp.org/wiki/3_Duets_for_Violin_and_Viola%2C_Op.7_%28Hoffmeister%2C_Franz_Anton%29,1,2 Höger
"3 Duos Concertantes for 2 Oboes, Op.13 (Ferling, Franz Wilhelm)","Ferling, Franz Wilhelm","3 Duos Concertantes for 2 Oboes, Op.13",For 2 guitars (arr),Duo,,https://imslp.org/wiki/3_Duos_Concertantes_for_2_Oboes%2C_Op.13_%28Ferling%2C_Franz_Wilhelm%29,1,2 Höger
"3 Duos for 2 Cellos, Op.22 (Grützmacher, Friedrich)","Grützmacher, Friedrich","3 Duos for 2 Cellos, Op.22",For 2 guitars (arr),Duo,,https://imslp.org/wiki/3_Duos_for_2_Cellos%2C_Op.22_%28Gr%C3%BCtzmacher%2C_Friedrich%29,1,2 Höger
"3 Duos for 2 Violas, BI 10, 3, 14 (Rolla, Alessandro)","Rolla, Alessandro","3 Duos for 2 Violas, BI 10, 3, 14",For 2 guitars (arr),Duo,,https://imslp.org/wiki/3_Duos_for_2_Violas%2C_BI_10%2C_3%2C_14_%28Rolla%2C_Alessandro%29,1,2 Höger
"3 Duos for 2 Violins, Op.116 (Kalliwoda, Johann Wenzel)","Kalliwoda, Johann Wenzel","3 Duos for 2 Violins, Op.116",For 2 guitars (arr),Duo,,https://imslp.org/wiki/3_Duos_for_2_Violins%2C_Op.116_%28Kalliwoda%2C_Johann_Wenzel%29,1,2 Höger
"3 Grand Trios for Horns, Op.4 (Dauprat, Louis-François)","Dauprat, Louis-François","3 Grand Trios for Horns, Op.4",For 3 guitars (arr),Trio,,https://imslp.org/wiki/3_Grand_Trios_for_Horns%2C_Op.4_%28Dauprat%2C_Louis-Fran%C3%A7ois%29,1,3 Höger
"3 Grandes marches, Op.12 (Ries, Ferdinand)","Ries, Ferdinand","3 Grandes marches, Op.12","For guitar, piano (arr)",Guitar and Piano,,https://imslp.org/wiki/3_Grandes_marches%2C_Op.12_%28Ries%2C_Ferdinand%29,0,
