imslp_title,composer_name,work_title,source_category,instrumentation_category,alternate_instrumentations,url,arrangement_count,arrangers
"Prelude and Fugue in E major, BWV 878 (Bach, Johann Sebastian)","Bach, Johann Sebastian","Prelude and Fugue in E major, BWV 878",For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Prelude_and_Fugue_in_E_major%2C_BWV_878_%28Bach%2C_Johann_Sebastian%29,1,4 Höger
"Prelude and Fugue in E minor, BWV 855 (Bach, Johann Sebastian)","Bach, Johann Sebastian","Prelude and Fugue in E minor, BWV 855",For 2 guitars (arr),Duo,,https://imslp.org/wiki/Prelude_and_Fugue_in_E_minor%2C_BWV_855_%28Bach%2C_Johann_Sebastian%29,1,2 Ludenhoff
"Prelude and Fugue in E-flat minor, BWV 853 (Bach, Johann Sebastian)","Bach, Johann Sebastian","Prelude and Fugue in E-flat minor, BWV 853",For guitar (arr),Solo,Trio,https://imslp.org/wiki/Prelude_and_Fugue_in_E-flat_minor%2C_BWV_853_%28Bach%2C_Johann_Sebastian%29,2,Birns | 3 Höger
"Prelude and Fugue in F minor, BWV 857 (Bach, Johann Sebastian)","Bach, Johann Sebastian","Prelude and Fugue in F minor, BWV 857",For 2 guitars (arr),Duo,Quartet,https://imslp.org/wiki/Prelude_and_Fugue_in_F_minor%2C_BWV_857_%28Bach%2C_Johann_Sebastian%29,2,4 Höger | 2 Nesyba
"Prelude and Fugue in F-sharp minor, BWV 859 (Bach, Johann Sebastian)","Bach, Johann Sebastian","Prelude and Fugue in F-sharp minor, BWV 859",For 2 guitars (arr),Duo,,https://imslp.org/wiki/Prelude_and_Fugue_in_F-sharp_minor%2C_BWV_859_%28Bach%2C_Johann_Sebastian%29,2,2 Alink | 2 Prelude
"Prelude and Fugue in G major, BWV 550 (Bach, Johann Sebastian)","Bach, Johann Sebastian","Prelude and Fugue in G major, BWV 550",For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Prelude_and_Fugue_in_G_major%2C_BWV_550_%28Bach%2C_Johann_Sebastian%29,1,4 Höger
"Prelude and Fugue in G major, Cocquiel 361 (Kerckhoven, Abraham van den)","Kerckhoven, Abraham van den","Prelude and Fugue in G major, Cocquiel 361",For 4 guitars (arr),Quartet,,https://imslp.org/wiki/Prelude_and_Fugue_in_G_major%2C_Cocquiel_361_%28Kerckhoven%2C_Abraham_van_den%29,1,4 Höger
"Prelude and Fugue in G major, W.137 (Kerckhoven, Abraham van den)","Kerckhoven, Abraham van den","Prelude and Fugue in G major, W.137",For 3 guitars (arr),Trio,,https://imslp.org/wiki/Prelude_and_Fugue_in_G_major%2C_W.137_%28Kerckhoven%2C_Abraham_van_den%29,1,3 Höger
"Prelude and Fugue in G minor (Poglietti, Alessandro)","Poglietti, Alessandro",Prelude and Fugue in G minor,For 2 guitars (arr),Duo,,https://imslp.org/wiki/Prelude_and_Fugue_in_G_minor_%28Poglietti%2C_Alessandro%29,1,2 Höger
"Prelude and Fugue in G minor, BWV 885 (Bach, Johann Sebastian)","Bach, Johann Sebastian","Prelude and Fugue in G minor, BWV 885",For guitar (arr),Solo,,https://imslp.org/wiki/Prelude_and_Fugue_in_G_minor%2C_BWV_885_%28Bach%2C_Johann_Sebastian%29,1,Fujishita
"Prelude and Fugue in G minor, RW 18-19 (Peyer, Johann Baptist)","Peyer, Johann Baptist","Prelude and Fugue in G minor, RW 18-19",For 2 guitars (arr),Duo,,https://imslp.org/wiki/Prelude_and_Fugue_in_G_minor%2C_RW_18-19_%28Peyer%2C_Johann_Baptist%29,1,2 Höger
"Prelude in A minor, P.412 (Pachelbel, Johann)","Pachelbel, Johann","Prelude in A minor, P.412",For guitar (arr),Solo,,https://imslp.org/wiki/Prelude_in_A_minor%2C_P.412_%28Pachelbel%2C_Johann%29,1,Alink
"Prelude in C major (Brixi, František Xaver)","Brixi, František Xaver",Prelude in C major,For 2 guitars (arr),Duo,,https://imslp.org/wiki/Prelude_in_C_major_%28Brixi%2C_Franti%C5%A1ek_Xaver%29,1,2 Höger
